"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","IsDeployable","IsDestructiveRisk","IsSelected","HasExplicitSelection"
"3ca63366-04a2-4e85-8d0f-5ebd57d5d63f","Constraint","SFin","DF__Transacti__Messa__3AD18D15","TransactionsValidate","MissingInTarget","True","False","True","True"
"c46f80a2-e34d-4ac8-a846-2fae1046be2a","Constraint","SFin","DF__Transacti__Messa__491FAC6C","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"c364e49c-a825-4a7e-93e8-1cb148238796","Constraint","SFin","DF__Transacti__Targe__3518B3BF","TransactionsValidate","MissingInTarget","True","False","True","True"
"cd91a841-b346-41e2-8181-67704148ea98","Constraint","SFin","DF__Transacti__Targe__360CD7F8","TransactionsValidate","MissingInTarget","True","False","True","True"
"c23f325f-c279-492e-b32b-fd59356594b8","Constraint","SFin","DF__Transacti__Targe__4366D316","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"abd5ccd9-6a3e-4a9a-b22c-e37a33d9b13f","Constraint","SFin","DF__Transacti__Targe__445AF74F","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"d562abe1-8a23-4eb8-9c15-c18b93fdf6a5","Constraint","SFin","DF__tvf_Invoi__IsHid__031743D7","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"02128408-e7d3-4bf4-89a0-72e07eb51124","Constraint","SFin","DF__tvf_Invoi__IsInf__04FF8C49","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"cc27dce3-70e5-4635-97e1-32519119444a","Constraint","SFin","DF__tvf_Invoi__IsInv__040B6810","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"7b9b3248-8865-47bf-a4fe-66525b0f9b00","Constraint","SFin","DF__tvf_Invoi__IsRea__02231F9E","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"e7fe50ac-557a-4649-a612-25dd28c6ecb2","Constraint","SFin","DF__tvf_Invoi__Messa__05F3B082","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"0f9548c7-c86c-4f6d-b05f-dd2eaefaa6ab","Constraint","SFin","DF__tvf_Invoi__Targe__003AD72C","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"043f9f69-231c-415c-961f-fc3f6a6aa63c","Constraint","SFin","DF__tvf_Invoi__Targe__012EFB65","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"187710c5-8a38-4de7-9c79-8e5eb6d2485f","Constraint","SJob","DF__RibaStage__IsHid__0B81A14F","RibaStagesValidate","MissingInTarget","True","False","True","True"
"7ffbb901-d581-449e-8c40-8092a5a58048","Constraint","SJob","DF__RibaStage__IsInf__0D69E9C1","RibaStagesValidate","MissingInTarget","True","False","True","True"
"e6b5a4b4-8488-4272-ab56-1b15a8170bb3","Constraint","SJob","DF__RibaStage__IsInv__0C75C588","RibaStagesValidate","MissingInTarget","True","False","True","True"
"cbea6663-d3b3-42a4-b7e1-b5481ebd44e9","Constraint","SJob","DF__RibaStage__IsRea__0A8D7D16","RibaStagesValidate","MissingInTarget","True","False","True","True"
"b037928b-3443-4e4d-b211-3c2dd5d527d0","Constraint","SJob","DF__RibaStage__Messa__0E5E0DFA","RibaStagesValidate","MissingInTarget","True","False","True","True"
"89b8e9cd-9dab-45ee-afe8-368be1b99363","Constraint","SJob","DF__RibaStage__Targe__08A534A4","RibaStagesValidate","MissingInTarget","True","False","True","True"
"3333d47a-9196-4910-94ac-2ce09ff6e15f","Constraint","SJob","DF__RibaStage__Targe__099958DD","RibaStagesValidate","MissingInTarget","True","False","True","True"
"51de092b-5cc4-40d6-a660-bddfa7667fee","Constraint","SJob","DF__tvf_JobsV__IsHid__04B4A82F","tvf_JobsValidate","MissingInTarget","True","False","True","True"
"ab06a8b6-93a9-46ea-b9c9-10961d9e2da8","Constraint","SJob","DF__tvf_JobsV__IsInf__069CF0A1","tvf_JobsValidate","MissingInTarget","True","False","True","True"
"048b7537-a4d4-4472-adf4-ccefe8f96444","Constraint","SJob","DF__tvf_JobsV__IsInv__05A8CC68","tvf_JobsValidate","MissingInTarget","True","False","True","True"
"2f31b344-b450-4680-8eab-5506727722b6","Constraint","SJob","DF__tvf_JobsV__IsRea__03C083F6","tvf_JobsValidate","MissingInTarget","True","False","True","True"
"3ee70399-5414-4663-9f5d-2d3a367befdd","Constraint","SJob","DF__tvf_JobsV__Messa__079114DA","tvf_JobsValidate","MissingInTarget","True","False","True","True"
"2e3aabf4-0c2c-48b3-9ac4-c5d6cb96f223","Constraint","SJob","DF__tvf_JobsV__Targe__01D83B84","tvf_JobsValidate","MissingInTarget","True","False","True","True"
"28edf018-87e8-40a7-bfdc-e524fdbc0c27","Constraint","SJob","DF__tvf_JobsV__Targe__02CC5FBD","tvf_JobsValidate","MissingInTarget","True","False","True","True"
"4aaf2bde-1e15-416a-b582-46c6bf03fa93","Constraint","SJob","DF_PurchaseOrders_InvoiceRequestId","PurchaseOrders","MissingInTarget","True","False","True","True"
"4e6d429d-02c3-4706-bba1-71d2762a2616","Constraint","SJob","DF_SubContractorInvoices_SubContractorId","SubContractorInvoices","MissingInTarget","True","False","True","True"
"2016b87e-ea18-4e8a-8583-f0372a002447","Constraint","SJob","FK_PurchaseOrders_InvoiceRequestId","PurchaseOrders","MissingInTarget","True","False","True","True"
"d18d94dc-b8ee-4b59-b786-a7c871c70b74","Constraint","SJob","FK_SubContractorInvoices_SubContractorId","SubContractorInvoices","MissingInTarget","True","False","True","True"
"7ee3fbf5-a7b4-4955-bd06-ba80d2824b9c","Constraint","SMigration","DF_Onboarding_EntityScope_CanDeselect","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"46c7b62d-9631-4dc1-ab4a-b9afbd6ab00b","Constraint","SMigration","DF_Onboarding_EntityScope_Category","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"28c9ee8e-93c8-4385-b0b5-3b4acdd3fb14","Constraint","SMigration","DF_Onboarding_EntityScope_CreatedUtc","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"f7752106-2d98-4fa4-a98e-b2626cfa6a57","Constraint","SMigration","DF_Onboarding_EntityScope_DefaultSelected","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"cec3a428-2d5a-4c12-a9e5-8ecbdbdeb069","Constraint","SMigration","DF_Onboarding_EntityScope_Description","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"0cd79058-7d14-4e2a-b455-d6655e7a8916","Constraint","SMigration","DF_Onboarding_EntityScope_HandlerKey","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"66cabdb9-a5a0-43cf-ba14-fb61dde73bc1","Constraint","SMigration","DF_Onboarding_EntityScope_IsImplemented","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"ae616686-3fb0-454f-ad01-db3241e1248f","Constraint","SMigration","DF_Onboarding_EntityScope_IsRequired","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"737c3308-12bf-4aa0-8689-ea29ca0bd700","Constraint","SMigration","DF_Onboarding_EntityScope_IsSupportData","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"f9515931-6687-4c6a-820e-e11a5530d854","Constraint","SMigration","DF_Onboarding_EntityScope_RequiredDependencyCodes","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"549b0556-75d0-4ef3-9be5-4e4b71b9f6cf","Constraint","SMigration","DF_Onboarding_EntityScope_RowStatus","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"3b307a09-6b13-4a13-bc13-91ee9ab816f1","Constraint","SMigration","DF_Onboarding_EntityScope_ScopeType","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"e7ed421c-fe84-4af7-b42c-695cb3d8fc33","Constraint","SMigration","DF_Onboarding_EntityScope_SourceSchemaName","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"7d8718d3-2030-47b1-9104-1fa5fbee3ece","Constraint","SMigration","DF_Onboarding_EntityScope_SourceTableName","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
