"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PrepareFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","WasMaterialized","MaterializedDefinitionSha256","MaterializedFiles","ConstraintKind","Reason"
"df0970f0-c756-4599-942a-80ca376444e2","Constraint","SCore","DF__tvf_Workf__IsInv__7AEC122A","tvf_WorkflowStatusValidate","MissingInTarget","47FFCB032EC9ABF53490116879B46A434AAB37E57A8BF0C7DDB54C1C9DD0DBC2","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsInv__7AEC122A.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsInv__7AEC122A.preflight.sql","System.Object[]","ConstraintCreate","True","True","7EA15F0FB6F5909E0B1626355BABCEC26C1A846CB48AC9D086463E0FD3AEA5A4","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"1eb09d58-ed21-4baa-8a66-067f11533408","Constraint","SCore","DF__tvf_Workf__IsRea__065DC4D6","tvf_WorkflowValidate","MissingInTarget","913A4FFEC21A8C990E21FCA37CF72D5DDBA81B2AE629852DC83F441956B45D5A","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsRea__065DC4D6.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsRea__065DC4D6.preflight.sql","System.Object[]","ConstraintCreate","True","True","33ACABD98491DC316BC9F0A7B14B310B3E725C7867DCC6A05C7329AC0ACD0614","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"14c0910e-36f9-4158-bcc6-8db211597c77","Constraint","SCore","DF__tvf_Workf__IsRea__7903C9B8","tvf_WorkflowStatusValidate","MissingInTarget","913A4FFEC21A8C990E21FCA37CF72D5DDBA81B2AE629852DC83F441956B45D5A","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsRea__7903C9B8.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsRea__7903C9B8.preflight.sql","System.Object[]","ConstraintCreate","True","True","33ACABD98491DC316BC9F0A7B14B310B3E725C7867DCC6A05C7329AC0ACD0614","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"da9f0606-070f-46b5-815f-2a859d7fca49","Constraint","SCore","DF__tvf_Workf__IsRea__7FB0C747","tvf_WorkflowTransitionValidate","MissingInTarget","913A4FFEC21A8C990E21FCA37CF72D5DDBA81B2AE629852DC83F441956B45D5A","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsRea__7FB0C747.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsRea__7FB0C747.preflight.sql","System.Object[]","ConstraintCreate","True","True","33ACABD98491DC316BC9F0A7B14B310B3E725C7867DCC6A05C7329AC0ACD0614","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"2b875235-5549-4086-a900-2bcef9f91e18","Constraint","SCore","DF__tvf_Workf__Messa__0381582B","tvf_WorkflowTransitionValidate","MissingInTarget","AE23361C700959395C0E8EAB5A839ABD85DF04F2246652F12AFC7A455D1AFFD5","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__Messa__0381582B.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__Messa__0381582B.preflight.sql","System.Object[]","ConstraintCreate","True","True","78AE966C56D426F14E1F10959ECD319E7762C374EA902B8FA29FED6C70EEEC6F","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"cd7dd01f-5c84-4d3e-bcc2-4af048f5bb2d","Constraint","SCore","DF__tvf_Workf__Messa__0A2E55BA","tvf_WorkflowValidate","MissingInTarget","AE23361C700959395C0E8EAB5A839ABD85DF04F2246652F12AFC7A455D1AFFD5","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__Messa__0A2E55BA.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__Messa__0A2E55BA.preflight.sql","System.Object[]","ConstraintCreate","True","True","78AE966C56D426F14E1F10959ECD319E7762C374EA902B8FA29FED6C70EEEC6F","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"964ddaed-eaed-4b9f-bbc8-cb1cdebd1824","Constraint","SCore","DF__tvf_Workf__Messa__7CD45A9C","tvf_WorkflowStatusValidate","MissingInTarget","AE23361C700959395C0E8EAB5A839ABD85DF04F2246652F12AFC7A455D1AFFD5","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__Messa__7CD45A9C.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__Messa__7CD45A9C.preflight.sql","System.Object[]","ConstraintCreate","True","True","78AE966C56D426F14E1F10959ECD319E7762C374EA902B8FA29FED6C70EEEC6F","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"35633d8b-85b3-4acc-bd85-bda3925f76a1","Constraint","SCore","DF__tvf_Workf__Targe__04757C64","tvf_WorkflowValidate","MissingInTarget","DC8397CCE23522BDB38F8F2530FEE78870948E5374A9E2E496E8E953666845DC","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__Targe__04757C64.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__Targe__04757C64.preflight.sql","System.Object[]","ConstraintCreate","True","True","8178317E84A8D7833A1E9851EE9DECA4177C96D4CA65C043F0D6421DB41DEEEA","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"a83d38f6-bfd7-4c26-ad07-97839fccf836","Constraint","SCore","DF__tvf_Workf__Targe__0569A09D","tvf_WorkflowValidate","MissingInTarget","FCFDE80E381BF5EDA60434BD53700953F254E3C7480743CF0584BFBF0C230524","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__Targe__0569A09D.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__Targe__0569A09D.preflight.sql","System.Object[]","ConstraintCreate","True","True","85820182A65BBAC21CCA35F8163B626EE57B86D1186635DA5769BEFF2F7B9B2A","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"b6e4999e-bd5e-4e39-b1d6-3ee64586fa14","Constraint","SCore","DF__tvf_Workf__Targe__771B8146","tvf_WorkflowStatusValidate","MissingInTarget","DC8397CCE23522BDB38F8F2530FEE78870948E5374A9E2E496E8E953666845DC","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__Targe__771B8146.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__Targe__771B8146.preflight.sql","System.Object[]","ConstraintCreate","True","True","8178317E84A8D7833A1E9851EE9DECA4177C96D4CA65C043F0D6421DB41DEEEA","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"10943a6b-7d86-4cab-9e4f-df70d8731b61","Constraint","SCore","DF__tvf_Workf__Targe__780FA57F","tvf_WorkflowStatusValidate","MissingInTarget","FCFDE80E381BF5EDA60434BD53700953F254E3C7480743CF0584BFBF0C230524","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__Targe__780FA57F.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__Targe__780FA57F.preflight.sql","System.Object[]","ConstraintCreate","True","True","85820182A65BBAC21CCA35F8163B626EE57B86D1186635DA5769BEFF2F7B9B2A","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
